Date,Open,High,Low,Close,Volume
2022-07-17,21195.6,21348.86,21187.19,21295.57,4988.02364
2022-07-18,20799.58,20924.31,20762.45,20822.85,5527.85198
2022-07-19,22432.58,22961.72,22166.71,22345.94,25417.02407
2022-07-20,23398.48,23439.38,22922,23034.49,13170.04666
2022-07-21,23223.3,23386.56,23122.34,23249.7,6524.92893
2022-07-22,23152.19,23352.53,23090,23270.16,5581.95925
2022-07-23,22684.83,22818.97,22550.14,22767.19,4303.36591
2022-07-24,22448.58,22677.37,22448.58,22549.18,5346.444
2022-07-25,22577.13,22666,22264.79,22320.27,9392.302
2022-07-26,21310.9,21347.82,20971.4,20996.9,16688.36372
2022-07-27,21254.67,21284,21133.42,21208.13,6184.78886
2022-07-28,22954.31,23062.9,22751.95,22785.32,8680.36864
2022-07-29,23845.25,23947.73,23701,23880.6,8369.44988
2022-07-30,23777.28,23943.64,23747.02,23919.79,5483.30572
2022-07-31,23644.64,23782,23520,23747.03,6065.24324
2022-08-01,23296.36,23394.97,23257.37,23374.96,5110.59195
2022-08-02,23266.9,23447.62,23160.02,23187.65,6217.40017
2022-08-03,22985.93,23079.39,22727,22793.56,7221.49504
2022-08-04,22816.91,23023.82,22791.46,23006.01,7206.91975
2022-08-05,22622.41,22682.65,22586.95,22632,4571.73014
2022-08-06,23313.56,23354.36,23201.27,23264.97,5770.02445
2022-08-07,22954.21,23051.92,22844.62,22889.24,5343.43342
2022-08-08,23174.39,23350,23154.25,23264.25,5160.37577
2022-08-09,23810.98,23869.96,23727.95,23794,3670.44373
2022-08-10,23151.32,23151.32,22664.69,22771.87,10395.73294
2022-08-11,23954.05,24095.12,23912.39,24049.93,9388.17867
2022-08-12,23933.09,24009.67,23761.84,23964.37,9059.49709
2022-08-13,24401.7,24495.08,24334.37,24485.12,7300.96803
2022-08-14,24443.06,24518.06,24343.3,24510.36,5129.2622
2022-08-15,24305.25,24413.79,24164.1,24400.97,7109.86826
2022-08-16,24093.04,24163.84,23958.54,24124.8,9038.51453
2022-08-17,23856.15,24044,23824.99,24009.66,9146.13892
2022-08-18,23342.66,23475,23285.23,23456.27,7551.67315
2022-08-19,23191.45,23208.67,22877,22931.29,16488.91189
2022-08-20,20834.39,21212.67,20792.92,20991.67,13247.29792
2022-08-21,21140.07,21290,21118.71,21168.26,7041.4919
2022-08-22,21516.7,21530.03,21388.99,21454.26,8406.68117
2022-08-23,21400.75,21468.51,21285.02,21303.25,9264.9316
2022-08-24,21529.11,21555.84,21332.8,21385.79,8032.00919
2022-08-25,21368.05,21488.68,21310.15,21481.32,7688.96129
2022-08-26,21559.04,21569,21431.22,21477.12,8728.33324
2022-08-27,20239.14,20402.93,20141.32,20306.71,11216.14388
2022-08-28,20037.6,20051.22,19926.78,19992.16,5346.54381
2022-08-29,19555.61,19757.67,19550.79,19641.03,12167.09147
2022-08-30,20287.2,20298.75,20185.55,20256.25,8894.4836
2022-08-31,19813.03,19989.9,19797.94,19960.23,8822.52662
2022-09-01,20048.44,20138.15,19917.01,20064.43,11108.70225
2022-09-02,20132.64,20137.13,20047.61,20072.73,6596.35671
2022-09-03,19950.98,20055.93,19917,20001.34,7300.74401
2022-09-04,19832.45,19861.94,19799.69,19807.29,4959.52168
2022-09-05,20000.3,20057.27,19878.02,19914.13,10824.02768
2022-09-06,19795.34,20174.58,19776.67,20101.01,18887.74022
2022-09-07,18790.61,18873.17,18656.19,18833.11,15856.22484
2022-09-08,19292.85,19384.81,19230.96,19304.51,9421.3868
2022-09-09,19320.54,19399.81,19291.75,19367.99,8654.49193
