Date,B,A,ratio,Price,Open,High,Low,Vol.,Change %,kimchi_premium
2019-07-11,13795000,12108.11,1139.319018409975,"1,174.16",1176.57,"1,178.24","1,169.94",,-0.12%,-0.03166065902583359
2019-07-12,13972000,11342.88,1231.785930909963,"1,176.32",1175.16,"1,180.27","1,173.77",,0.18%,0.04818572016573319
2019-07-15,12255000,10174.18,1204.5196762785797,"1,179.41",1177.41,"1,182.25","1,176.81",,0.26%,0.023024839502449934
2019-07-16,12951000,10833.78,1195.4276346759857,"1,179.21",1180.41,"1,182.52","1,176.22",,-0.02%,0.012722388556506203
2019-07-17,11428000,9430.17,1211.855141529792,"1,179.62",1179.7,"1,182.72","1,177.60",,0.03%,0.02725704969889975
2019-07-18,11570000,9668.86,1196.6250416284856,"1,171.78",1180.62,"1,184.07","1,172.29",,-0.66%,0.013556471708497053
2019-07-19,12394000,10628.64,1166.0946273464904,"1,175.11",1172.78,"1,176.83","1,169.85",,0.28%,-0.0057004490641975325
2019-07-22,12547000,10590.15,1184.7801966922093,"1,175.87",1176.11,"1,179.45","1,175.07",,0.06%,0.007371926683906516
2019-07-23,11894000,10343.08,1149.9475978141909,"1,178.89",1176.87,"1,180.80","1,175.31",,0.26%,-0.02287627536245207
2019-07-24,11608000,9864.78,1176.7114928057188,"1,177.41",1179.9,"1,181.03","1,176.30",,-0.13%,-0.0027023537539463405
2019-07-25,11958000,9763.4,1224.7782534772723,"1,183.16",1178.41,"1,185.35","1,177.09",,0.49%,0.0393481500303563
2019-07-26,11634000,9882.15,1177.2741761661175,"1,183.24",1184.16,"1,186.65","1,181.75",,0.01%,-0.0058149437862135
2019-07-29,11300000,9541.54,1184.295197630571,"1,182.71",1184.21,"1,185.95","1,180.38",,-0.04%,7.194469779081558e-05
2019-07-30,11213000,9509.07,1179.1899733622745,"1,181.14",1183.71,"1,184.71","1,179.38",,-0.13%,-0.0038185253463479674
2019-07-31,11531000,9575.0,1204.2819843342036,"1,187.32",1181.14,"1,189.35","1,179.88",,0.52%,0.019592922375165855
2019-08-01,11843000,10080.53,1174.83902136098,"1,195.38",1188.32,"1,198.32","1,185.88",,0.68%,-0.011344569340766664
2019-08-02,12495000,10375.0,1204.3373493975903,"1,204.51",1196.38,"1,208.03","1,191.35",,0.76%,0.00665118891789418
2019-08-05,13856000,10929.99,1267.704728000666,"1,217.33",1204.94,"1,221.29","1,202.40",,1.06%,0.05208950487216457
2019-08-06,14464000,11830.0,1222.654268808115,"1,212.43",1218.33,"1,220.74","1,208.90",,-0.40%,0.003549341153968877
2019-08-07,13807000,11481.69,1202.5233219151537,"1,212.87",1213.43,"1,220.22","1,211.45",,0.04%,-0.008988304298432004
2019-08-08,14180000,11975.04,1184.1296563518786,"1,207.08",1213.02,"1,216.46","1,206.16",,-0.48%,-0.023816873298149632
2019-08-09,14155000,11994.17,1180.1566927932488,"1,213.45",1208.08,"1,217.28","1,207.15",,0.53%,-0.023113789820832342
2019-08-12,13664000,11539.08,1184.149862900682,"1,218.14",1214.44,"1,220.70","1,213.57",,0.39%,-0.024941649731002102
2019-08-13,13646000,11398.35,1197.1908214785474,"1,205.64",1219.14,"1,224.55","1,205.64",,-1.03%,-0.018003821153807387
2019-08-14,12601000,10893.36,1156.759714174506,"1,215.86",1206.64,"1,218.95","1,206.05",,0.85%,-0.04133816699719406
2019-08-15,11995000,10055.16,1192.919854084868,"1,212.33",1216.86,"1,219.48","1,212.45",,-0.29%,-0.019673706026274163
2019-08-16,12291000,10296.77,1193.67529817603,"1,207.47",1213.33,"1,215.95","1,205.06",,-0.40%,-0.016198974577377845
2019-08-19,12876000,10306.17,1249.3486911238608,"1,211.62",1208.49,"1,213.98","1,208.19",,0.34%,0.033809705602744655
2019-08-20,12922000,10914.73,1183.904686602417,"1,205.40",1212.62,"1,214.20","1,205.40",,-0.51%,-0.023680389072902264
2019-08-21,12314000,10760.51,1144.3695512573288,"1,201.44",1206.4,"1,210.03","1,198.69",,-0.33%,-0.05141781228669706
2019-08-22,12045000,10140.82,1187.773769774042,"1,209.42",1202.49,"1,212.36","1,201.98",,0.66%,-0.012238131066335756
2019-08-23,12256000,10099.9,1213.4773611619917,"1,212.66",1210.43,"1,217.89","1,206.81",,0.27%,0.002517585619979279
2019-08-26,12380000,10142.69,1220.583494122368,"1,211.74",1213.65,"1,220.70","1,212.10",,-0.08%,0.005712927221495301
2019-08-27,12235000,10373.6,1179.4362612786304,"1,211.74",1212.74,"1,215.85","1,210.25",,0.00%,-0.027461565316036163
2019-08-28,12140000,10185.69,1191.868199405244,"1,212.29",1212.74,"1,215.94","1,211.52",,0.05%,-0.017210449556175234
2019-08-29,11415000,9721.0,1174.2619072111922,"1,208.12",1213.29,"1,217.39","1,207.76",,-0.34%,-0.032167159367346376
2019-08-30,11553000,9499.01,1216.2320073355013,"1,209.50",1209.12,"1,212.05","1,206.24",,0.11%,0.00588196980903577
2019-09-02,11760000,9723.59,1209.4298504976043,"1,213.61",1209.77,"1,215.14","1,209.36",,0.34%,-0.0002811687365331661
2019-09-03,12480000,10340.0,1206.963249516441,"1,210.54",1214.67,"1,217.50","1,210.78",,-0.25%,-0.006344727772612413
2019-09-04,12605000,10611.85,1187.8230468768404,"1,203.63",1211.54,"1,212.27","1,203.21",,-0.57%,-0.01957587295768981
2019-09-05,12639000,10565.92,1196.2044005633206,"1,197.52",1204.64,"1,205.54","1,195.86",,-0.51%,-0.007002589517764224
2019-09-06,12813000,10563.13,1212.992739841316,"1,191.77",1198.03,"1,199.30","1,189.46",,-0.48%,0.012489453387073857
2019-09-09,12096000,10381.24,1165.178726240796,"1,191.93",1192.62,"1,195.36","1,188.77",,0.01%,-0.023009234927473754
2019-09-10,12203000,10302.58,1184.4605914246722,"1,191.35",1192.93,"1,194.20","1,189.04",,-0.05%,-0.007099669364780681
2019-09-11,11985000,10098.19,1186.8463556340294,"1,189.68",1191.51,"1,195.16","1,188.67",,-0.14%,-0.0039140622957177795
2019-09-12,12139000,10158.75,1194.930478651409,"1,181.44",1190.68,"1,191.41","1,177.55",,-0.69%,0.003569790918978244
2019-09-13,12261000,10415.01,1177.2432287631025,"1,178.72",1182.44,"1,184.46","1,175.31",,-0.23%,-0.0043949555469178225
2019-09-16,12177000,10303.34,1181.8497691039993,"1,184.02",1181.65,"1,186.20","1,181.56",,0.45%,0.0001690594541523538
2019-09-17,12007000,10249.68,1171.451206281562,"1,186.62",1185.02,"1,191.65","1,183.59",,0.22%,-0.011450265580697394
2019-09-18,12049000,10187.48,1182.7262482969293,"1,190.73",1187.62,"1,194.74","1,186.52",,0.35%,-0.004120637664463911
2019-09-19,11772000,10156.41,1159.0709709434732,"1,194.35",1191.78,"1,197.33","1,190.12",,0.30%,-0.027445526067333526
2019-09-20,12021000,10243.7,1173.5017620586311,"1,193.13",1195.35,"1,195.86","1,186.85",,-0.10%,-0.018277691003780294
2019-09-23,11789000,10028.05,1175.60243516935,"1,194.04",1194.14,"1,199.40","1,190.49",,0.08%,-0.015523778477104955
2019-09-24,11560000,9702.2,1191.4823442105912,"1,194.53",1195.04,"1,198.54","1,191.99",,0.04%,-0.0029770181662611694
2019-09-25,9843000,8497.55,1158.3338727044854,"1,198.82",1195.53,"1,202.29","1,194.38",,0.36%,-0.031112667432448005
2019-09-26,10120000,8430.05,1200.4673756383415,"1,199.46",1199.82,"1,202.91","1,197.52",,0.05%,0.0005395606327129876
2019-09-27,9671000,8063.49,1199.3566061345646,"1,201.99",1200.46,"1,203.80","1,196.86",,0.21%,-0.0009191425498854544
2019-09-30,9427000,8043.04,1172.0692673417016,"1,198.09",1202.9,"1,203.80","1,195.30",,-0.32%,-0.025630337233600864
2019-10-01,10070000,8289.97,1214.7209217886193,"1,202.37",1199.09,"1,204.33","1,196.11",,0.36%,0.013035653527774693
2019-10-02,9960000,8292.67,1201.0606957710845,"1,204.37",1203.37,"1,207.89","1,200.90",,0.17%,-0.0019190309122841809
2019-10-03,9982000,8360.0,1194.0191387559807,"1,200.89",1205.37,"1,206.80","1,200.91",,-0.29%,-0.009416910362809006
2019-10-04,9750000,8224.43,1185.4924900570616,"1,191.25",1201.89,"1,203.18","1,191.46",,-0.80%,-0.013643103730739514
2019-10-07,9455000,7855.3,1203.6459460491642,"1,196.33",1192.3,"1,198.69","1,192.19",,0.43%,0.009516016144564432
2019-10-08,9705000,8190.82,1184.863054004361,"1,199.02",1197.33,"1,200.31","1,192.10",,0.22%,-0.01041228900607094
2019-10-09,9744000,8170.79,1192.5407457540823,"1,197.50",1200.02,"1,200.24","1,196.07",,-0.13%,-0.006232607994798189
2019-10-10,10187000,8562.15,1189.771260723066,"1,189.46",1198.5,"1,201.71","1,188.94",,-0.67%,-0.007283053213962498
2019-10-11,9917000,8557.82,1158.8231582342232,"1,182.48",1190.46,"1,192.62","1,177.83",,-0.59%,-0.02657530850744827
2019-10-14,9826000,8275.24,1187.397586051885,"1,183.70",1182.5,"1,187.06","1,180.52",,0.10%,0.004141721819775901
2019-10-15,9801000,8346.86,1174.2140158095378,"1,184.79",1184.7,"1,187.62","1,182.31",,0.09%,-0.008851172609489533
2019-10-16,9670000,8159.3,1185.150686946184,"1,185.51",1184.88,"1,190.94","1,183.64",,0.06%,0.0002284509369587795
2019-10-17,9561000,7995.02,1195.8694287193778,"1,178.60",1186.51,"1,188.21","1,175.23",,-0.58%,0.007888200452906169
2019-10-18,9382000,8070.71,1162.4751725684605,"1,177.91",1179.07,"1,182.82","1,178.20",,-0.06%,-0.014074505696472173
2019-10-21,9691000,8223.35,1178.473493162762,"1,172.33",1179.22,"1,181.05","1,168.91",,-0.47%,-0.0006330513705992136
2019-10-22,9720000,8197.28,1185.7591786543828,"1,172.09",1172.49,"1,174.67","1,169.22",,-0.02%,0.011317093241206999
2019-10-23,9416000,8020.06,1174.056054443483,"1,169.67",1173.07,"1,176.90","1,170.06",,-0.21%,0.0008405759617780006
2019-10-24,8773000,7468.47,1174.6716529623873,"1,175.12",1170.67,"1,175.87","1,167.31",,0.47%,0.0034182587427602495
2019-10-25,8788000,7412.41,1185.5793190069087,"1,171.66",1175.21,"1,176.18","1,171.22",,-0.29%,0.008823375402616351
2019-10-28,10890000,9528.23,1142.9195139076198,"1,167.61",1171.5,"1,172.10","1,167.54",,-0.35%,-0.02439648834176711
2019-10-29,10920000,9204.45,1186.3826735980963,"1,167.39",1168.62,"1,170.11","1,162.60",,-0.02%,0.015199700157533247
2019-10-30,10699000,9407.62,1137.2695750891298,"1,164.41",1167.55,"1,170.84","1,164.32",,-0.26%,-0.02593501341344706
2019-10-31,10642000,9154.02,1162.549349903103,"1,169.24",1165.41,"1,171.56","1,159.17",,0.41%,-0.0024546297842794607
2019-11-01,10707000,9140.86,1171.3339882680625,"1,164.67",1170.24,"1,171.52","1,164.01",,-0.39%,0.0009348409455005591
2019-11-04,10670000,9196.46,1160.2290446541388,"1,162.79",1164.8,"1,164.90","1,157.89",,-0.16%,-0.003924240509839638
