datetime,symbol,open,high,low,close,volume
2014-05-26 09:00:00,BITSTAMP:BTCUSD,573.5,683.26,550.22,630.99,104661.0
2014-06-02 09:00:00,BITSTAMP:BTCUSD,630.99,680.99,613.03,658.0,76344.0
2014-06-09 09:00:00,BITSTAMP:BTCUSD,658.0,659.0,538.38,588.55,91726.0
2014-06-16 09:00:00,BITSTAMP:BTCUSD,592.0,616.0,580.0,600.34,41476.0
2014-06-23 09:00:00,BITSTAMP:BTCUSD,600.34,604.21,554.45,599.89,38907.0
2014-06-30 09:00:00,BITSTAMP:BTCUSD,599.86,658.88,595.51,630.57,48840.0
2014-07-07 09:00:00,BITSTAMP:BTCUSD,633.87,642.57,607.9,630.88,27779.0
2014-07-14 09:00:00,BITSTAMP:BTCUSD,630.88,632.96,610.0,627.0,23989.0
2014-07-21 09:00:00,BITSTAMP:BTCUSD,626.98,628.0,589.0,590.3,33635.0
2014-07-28 09:00:00,BITSTAMP:BTCUSD,592.61,607.2,555.9,588.73,52486.0
2014-08-04 09:00:00,BITSTAMP:BTCUSD,587.53,597.0,576.44,590.96,33187.0
2014-08-11 09:00:00,BITSTAMP:BTCUSD,590.98,590.99,481.55,496.86,98942.0
2014-08-18 09:00:00,BITSTAMP:BTCUSD,498.0,534.14,442.0,507.85,99816.0
2014-08-25 09:00:00,BITSTAMP:BTCUSD,507.84,523.09,473.33,479.04,50233.0
2014-09-01 09:00:00,BITSTAMP:BTCUSD,479.01,497.0,470.42,475.43,42601.0
2014-09-08 09:00:00,BITSTAMP:BTCUSD,477.4,492.0,456.3,475.49,58707.0
2014-09-15 09:00:00,BITSTAMP:BTCUSD,475.47,479.62,378.78,399.55,110300.0
2014-09-22 09:00:00,BITSTAMP:BTCUSD,400.77,452.67,368.9,375.35,98146.0
2014-09-29 09:00:00,BITSTAMP:BTCUSD,375.35,397.75,275.0,323.52,168624.0
2014-10-06 09:00:00,BITSTAMP:BTCUSD,322.82,395.55,295.89,378.11,213569.0
2014-10-13 09:00:00,BITSTAMP:BTCUSD,378.48,417.99,368.07,387.53,113429.0
2014-10-20 09:00:00,BITSTAMP:BTCUSD,389.06,393.52,341.22,355.18,83534.0
2014-10-27 09:00:00,BITSTAMP:BTCUSD,355.19,358.65,316.61,324.36,70289.29106021
2014-11-03 09:00:00,BITSTAMP:BTCUSD,324.23,366.35,320.0,364.77,75958.0
2014-11-10 09:00:00,BITSTAMP:BTCUSD,365.37,453.92,357.3,389.86,166440.0
2014-11-17 09:00:00,BITSTAMP:BTCUSD,389.86,415.0,342.05,367.17,94594.0
2014-11-24 09:00:00,BITSTAMP:BTCUSD,367.17,395.11,358.0,377.01,78335.0
2014-12-01 09:00:00,BITSTAMP:BTCUSD,376.09,383.0,360.0,377.26,47592.0
2014-12-08 09:00:00,BITSTAMP:BTCUSD,376.03,377.26,339.8,356.52,72326.0
2014-12-15 09:00:00,BITSTAMP:BTCUSD,357.3,357.3,304.99,320.01,103910.0
2014-12-22 09:00:00,BITSTAMP:BTCUSD,320.88,338.99,311.22,317.64,48463.98107058
2014-12-29 09:00:00,BITSTAMP:BTCUSD,317.64,321.0,255.0,264.0,91898.86458618
2015-01-05 09:00:00,BITSTAMP:BTCUSD,264.55,305.0,262.08,266.39,61650.24748559
2015-01-12 09:00:00,BITSTAMP:BTCUSD,266.34,272.43,152.4,211.85,350581.0
2015-01-19 09:00:00,BITSTAMP:BTCUSD,211.8,257.0,201.98,255.31,133039.0
2015-01-26 09:00:00,BITSTAMP:BTCUSD,254.67,309.9,208.48,226.93,188904.0
2015-02-02 09:00:00,BITSTAMP:BTCUSD,226.93,244.39,210.43,223.88,95147.0
2015-02-09 09:00:00,BITSTAMP:BTCUSD,223.92,267.92,215.0,235.63,114347.0
2015-02-16 09:00:00,BITSTAMP:BTCUSD,235.61,249.32,229.2,236.5,66883.0
2015-02-23 09:00:00,BITSTAMP:BTCUSD,236.46,260.25,232.05,258.34,58091.19334239
2015-03-02 09:00:00,BITSTAMP:BTCUSD,257.95,284.95,255.61,275.0,81515.0
2015-03-09 09:00:00,BITSTAMP:BTCUSD,275.0,297.95,274.17,286.75,56964.0
2015-03-16 09:00:00,BITSTAMP:BTCUSD,286.79,294.26,249.0,267.74,65585.0
2015-03-23 09:00:00,BITSTAMP:BTCUSD,268.28,270.07,236.4,242.0,67217.0
2015-03-30 09:00:00,BITSTAMP:BTCUSD,242.41,261.0,236.52,260.54,45399.0
2015-04-06 09:00:00,BITSTAMP:BTCUSD,260.57,262.98,231.0,236.5,49955.0
2015-04-13 09:00:00,BITSTAMP:BTCUSD,236.42,236.9,210.0,222.54,71745.0
2015-04-20 09:00:00,BITSTAMP:BTCUSD,222.54,238.64,214.98,219.52,59837.0
2015-04-27 09:00:00,BITSTAMP:BTCUSD,219.52,242.25,217.52,239.0,59469.0
2015-05-04 09:00:00,BITSTAMP:BTCUSD,239.73,247.01,227.01,239.13,54029.0
2015-05-11 09:00:00,BITSTAMP:BTCUSD,239.13,244.51,232.22,235.97,44906.0
2015-05-18 09:00:00,BITSTAMP:BTCUSD,235.69,241.64,230.86,239.22,41712.0
2015-05-25 09:00:00,BITSTAMP:BTCUSD,239.69,240.1,228.0,228.91,42210.0
2015-06-01 09:00:00,BITSTAMP:BTCUSD,228.91,231.2,219.03,222.7,44776.0
2015-06-08 09:00:00,BITSTAMP:BTCUSD,222.65,234.0,222.31,232.09,42427.0
2015-06-15 09:00:00,BITSTAMP:BTCUSD,232.08,257.39,231.55,243.64,69416.0
2015-06-22 09:00:00,BITSTAMP:BTCUSD,243.6,252.0,238.2,248.62,40189.0
2015-06-29 09:00:00,BITSTAMP:BTCUSD,248.63,274.74,248.3,271.5,96572.0
2015-07-06 09:00:00,BITSTAMP:BTCUSD,271.39,317.99,263.01,310.55,126826.0
2015-07-13 09:00:00,BITSTAMP:BTCUSD,310.55,310.73,272.31,275.47,96837.0
2015-07-20 09:00:00,BITSTAMP:BTCUSD,275.08,294.0,274.62,293.19,61121.0
2015-07-27 09:00:00,BITSTAMP:BTCUSD,292.85,297.44,276.57,282.32,61130.0
2015-08-03 09:00:00,BITSTAMP:BTCUSD,282.53,285.88,260.41,265.05,53838.0
2015-08-10 09:00:00,BITSTAMP:BTCUSD,265.05,271.5,254.01,256.11,61323.0
2015-08-17 09:00:00,BITSTAMP:BTCUSD,256.11,259.12,221.11,228.89,103711.0
2015-08-24 09:00:00,BITSTAMP:BTCUSD,228.35,235.93,198.12,229.0,171825.0
2015-08-31 09:00:00,BITSTAMP:BTCUSD,229.04,244.2,224.39,240.28,147352.0
2015-09-07 09:00:00,BITSTAMP:BTCUSD,240.28,246.24,228.0,229.66,141430.0
2015-09-14 09:00:00,BITSTAMP:BTCUSD,229.66,235.0,223.0,230.16,110555.0
2015-09-21 09:00:00,BITSTAMP:BTCUSD,230.1,237.25,223.12,232.41,126047.76858134
2015-09-28 09:00:00,BITSTAMP:BTCUSD,232.4,240.56,231.69,238.6,128538.85502957
2015-10-05 09:00:00,BITSTAMP:BTCUSD,238.6,248.5,236.1,248.05,135307.11344563
2015-10-12 09:00:00,BITSTAMP:BTCUSD,248.05,273.0,242.82,261.05,155701.82236152
2015-10-19 09:00:00,BITSTAMP:BTCUSD,260.99,296.0,259.82,283.96,168402.53356619
2015-10-26 09:00:00,BITSTAMP:BTCUSD,283.96,334.67,279.25,325.78,201212.38152531
2015-11-02 09:00:00,BITSTAMP:BTCUSD,325.78,502.0,320.0,372.65,389244.80242046
2015-11-09 09:00:00,BITSTAMP:BTCUSD,372.86,386.79,294.0,319.28,242015.95457173
2015-11-16 09:00:00,BITSTAMP:BTCUSD,319.29,350.44,310.0,324.2,134629.32171645
2015-11-23 09:00:00,BITSTAMP:BTCUSD,324.2,373.15,316.0,371.48,89360.315076
2015-11-30 09:00:00,BITSTAMP:BTCUSD,371.2,399.85,348.64,388.24,99512.53869288
2015-12-07 09:00:00,BITSTAMP:BTCUSD,388.54,467.8,381.01,433.07,126431.75886482
2015-12-14 09:00:00,BITSTAMP:BTCUSD,433.13,466.64,428.42,442.54,100145.15242845
2015-12-21 09:00:00,BITSTAMP:BTCUSD,442.47,459.54,407.25,421.76,80834.52139994
2015-12-28 09:00:00,BITSTAMP:BTCUSD,421.78,436.0,417.01,431.04,43626.28162397
2016-01-04 09:00:00,BITSTAMP:BTCUSD,431.54,465.0,426.54,448.79,50799.80943809
2016-01-11 09:00:00,BITSTAMP:BTCUSD,448.2,451.13,352.0,380.16,100170.19957908
2016-01-18 09:00:00,BITSTAMP:BTCUSD,379.94,422.98,372.53,402.16,76684.60157332
2016-01-25 09:00:00,BITSTAMP:BTCUSD,402.16,402.31,363.73,368.49,50604.93544585
2016-02-01 09:00:00,BITSTAMP:BTCUSD,368.49,391.88,365.0,375.0,49519.03779802
2016-02-08 09:00:00,BITSTAMP:BTCUSD,375.0,406.71,369.12,405.0,53282.38643921
2016-02-15 09:00:00,BITSTAMP:BTCUSD,405.5,447.99,393.4,438.5,63646.25819915
2016-02-22 09:00:00,BITSTAMP:BTCUSD,438.33,440.0,409.07,431.68,41502.53264457
2016-02-29 09:00:00,BITSTAMP:BTCUSD,430.26,440.99,382.0,406.23,58580.72208624
